store_id,uptime_last_hour (in minutes),uptime_last_day (in hours),uptime_last_week (in hours),downtime_last_hour (in minutes),downtime_last_day (in hours),downtime_last_week (in hours)
8034091651201093074,0,11,52,0,0,12
7566964170918340889,58,23,143,0,0,0
7956598466544189906,0,0,0,0,5,36
484972220587526424,58,13,83,0,10,59
3859635455855017768,0,0,35,58,23,107
7086435603849754290,58,12,62,0,0,12
3442565862564295449,0,0,0,58,23,143
7087732761859303587,58,13,66,0,0,14
3069871054095098458,0,12,64,0,0,12
7379260335230767740,58,8,73,0,0,0
2253205164144065311,0,0,0,58,11,71
8548093682661330564,58,23,143,0,0,0
6866841324359578873,0,0,0,58,12,82
2239828271115084986,58,11,57,0,0,11
3260742560925550980,58,12,73,0,0,0
2006966409659319978,0,0,0,58,23,143
3021647680127836846,58,23,143,0,0,0
5278090122909532261,0,0,9,58,14,76
7444716675586660524,0,4,26,0,0,13
8867804672322332190,0,0,33,58,23,109
8548094726093422675,58,7,39,0,0,8
3702974385138534693,58,13,67,0,0,13
3709208372078290822,58,22,138,0,1,5
8518420877315551053,0,0,0,59,23,143
5458199175049287402,58,23,143,0,0,0
8257383531969011582,0,0,0,58,11,68
3001693339384060516,0,0,7,58,9,52
8511861906036094671,0,0,6,58,7,41
2061568481156937830,58,23,143,0,0,0
5905617798476152172,0,0,0,58,10,65
6590645628892061084,58,23,143,0,0,0
5445789544237950528,0,0,9,58,13,83
422048993053499733,58,13,80,0,0,0
1402111194016878576,58,9,26,0,0,33
6437546176064168900,0,0,8,58,11,60
5710137538735180562,58,23,143,0,0,0
2223633839996199112,0,0,10,0,10,50
5034401267727888151,58,23,136,0,0,0
1112064045953113921,59,23,143,0,0,0
9058073483445175539,0,0,0,59,8,48
6192677996259677514,58,17,107,0,0,0
1760881616877597468,59,23,143,0,0,0
7899427973696262063,0,0,13,58,13,60
2979399194637860877,58,16,101,0,0,0
6744380546597122437,0,0,0,0,7,41
3956998170701080399,58,13,69,0,0,13
1966508353124309532,58,23,143,0,0,0
8016891495762496975,0,0,13,58,13,71
4069890470402545196,58,23,120,0,0,0
5021359113709321035,58,11,85,0,0,0
3368274675494292780,58,7,35,0,0,12
1375841031653578977,13,13,69,0,0,13
2389769017763591365,13,13,69,0,0,13
4164140233297856516,58,23,143,0,0,0
7441764181367663334,0,0,0,58,9,56
246505907494256090,0,5,46,0,0,5
6098179750099376245,43,10,54,0,0,11
1465244002967858929,0,0,9,58,13,70
2060241437292225093,58,23,143,0,0,0
9097278004183078692,0,8,44,0,0,9
231334548188799266,0,0,10,58,11,61
5272156405713106221,58,23,143,0,0,0
3794745111072104224,58,23,143,0,0,0
3111198822183739130,0,0,24,0,6,24
